,model_type,seq_len,hidden_size,num_layers,dropout,lr,batch_size,val_mae,val_rmse
313,RNN,30,32,1,0.1,0.0003,64,576.4781612273185,713.7357617347732
314,GRU,30,32,1,0.1,0.0003,64,577.0690209173387,747.4491873529264
315,RNN,30,64,1,0.0,0.001,64,577.6656139742944,733.5707719317987
316,RNN,30,128,1,0.0,0.001,64,577.7086614793346,724.7032596745292
317,RNN,30,128,2,0.0,0.0003,64,577.950675718246,717.6752312983315
318,LSTM,30,64,1,0.2,0.001,64,578.7918189264113,794.0378156079728
319,GRU,30,32,2,0.0,0.0003,64,578.9935105846774,748.5274322377776
320,LSTM,30,128,1,0.0,0.001,64,578.9949990549395,781.5078368067763
321,LSTM,30,128,2,0.0,0.001,64,579.0548765120968,719.6242001173648
322,LSTM,30,256,2,0.2,0.0001,64,580.0130497101815,797.0068649281073
323,GRU,30,32,1,0.0,0.0003,64,580.2457866053427,773.2175440911944
324,GRU,30,32,2,0.0,0.0001,32,582.7311460433468,739.3179854022878
325,RNN,30,32,2,0.1,0.0001,32,583.7872826360887,729.6604941276718
326,RNN,30,64,1,0.1,0.001,64,583.8157368321573,724.8949229365383
327,RNN,30,32,1,0.2,0.0003,32,583.9247180569556,691.7705694733166
328,RNN,30,64,1,0.2,0.0001,64,584.4799489667339,745.3772788495304
329,RNN,30,32,1,0.0,0.001,32,585.216316469254,705.4204659506705
330,RNN,30,32,1,0.2,0.001,32,585.4739242061491,706.0870755127228
331,LSTM,30,32,2,0.0,0.001,32,585.5242959299395,766.274862130737
332,LSTM,30,256,1,0.2,0.0003,64,585.9952353200605,805.2522695498852
333,RNN,30,128,1,0.1,0.0001,64,586.2368951612904,729.6558968067641
334,RNN,30,64,1,0.2,0.0003,64,586.2657431325605,734.2602835337427
335,GRU,30,32,2,0.1,0.0001,32,586.4530304939516,726.5580125182177
336,LSTM,30,32,1,0.0,0.0003,32,587.077628843246,745.4859354783249
337,GRU,30,32,2,0.0,0.001,64,587.7349814138105,761.5293274802762
338,RNN,30,128,1,0.0,0.0003,64,588.0435987903226,757.1843253475507
339,RNN,30,64,2,0.1,0.0003,64,588.7881568170363,750.7061990378813
340,RNN,30,64,2,0.1,0.0001,64,589.1400185861895,741.5870218324246
341,LSTM,30,64,1,0.2,0.0001,32,589.2381631174395,761.0748939088718
342,LSTM,14,128,2,0.2,0.0001,32,589.7879301030586,1121.2397220597293
343,RNN,30,32,2,0.0,0.0003,64,589.9993384576613,765.1415322903347
344,LSTM,30,32,1,0.0,0.001,64,591.9458244077621,802.030442335872
345,RNN,30,64,1,0.0,0.0003,64,592.6687878024194,717.7031544931366
346,RNN,30,64,1,0.0,0.001,32,592.873306766633,707.199823024076
347,LSTM,30,128,2,0.2,0.001,64,592.8737005418346,821.9161681355558
348,LSTM,30,64,1,0.1,0.0003,64,592.8996345766129,802.6918012886995
349,LSTM,30,32,1,0.1,0.0003,32,594.6024839339718,763.3911195485214
350,LSTM,30,128,1,0.2,0.001,64,594.8991935483871,808.7858884204738
351,RNN,30,32,1,0.1,0.001,64,595.9456432711694,730.3229515520376
352,RNN,30,64,2,0.0,0.0001,64,596.8199108492944,743.8911428154441
353,RNN,30,64,1,0.2,0.0001,32,597.2513309601815,739.5104673316403
354,RNN,30,64,1,0.1,0.0001,32,598.5630276587701,736.1795038249901
355,RNN,30,64,1,0.1,0.0001,64,599.6404674899194,754.8826749155103
356,LSTM,14,256,2,0.1,0.0001,32,599.8514793882979,1143.892164434188
357,RNN,30,128,1,0.0,0.0001,64,600.6920362903226,764.6514809225026
358,RNN,30,64,2,0.2,0.0001,64,601.036636844758,725.5344330668968
359,LSTM,30,64,2,0.0,0.0003,64,601.4209299395161,796.9353883770541
360,GRU,14,256,2,0.1,0.001,32,601.6726022273937,1107.5784638119085
361,LSTM,30,256,2,0.2,0.0003,64,602.8125315020161,813.66212236633
362,RNN,30,32,2,0.2,0.0001,32,603.9463126890121,773.8488690042249
363,RNN,14,32,2,0.1,0.001,32,604.5805923786569,1160.6413751367886
364,GRU,14,256,2,0.1,0.0001,32,604.9146131150266,1143.8046874654792
365,GRU,30,32,2,0.2,0.0003,64,605.6174080141129,746.1321233397957
366,LSTM,30,64,1,0.0,0.001,64,605.9111721900201,838.2431055158798
367,GRU,30,64,2,0.1,0.0001,64,606.1161636844759,782.6868126317313
368,GRU,14,256,2,0.2,0.0003,32,606.1536787317154,1152.2458888236029
369,RNN,30,64,1,0.0,0.0001,32,608.5839134954637,744.9815233117049
370,LSTM,14,256,1,0.0,0.0003,32,609.2108751662234,1153.5194548667564
371,GRU,14,256,2,0.2,0.001,32,610.3862512466756,1115.6963099748543
372,RNN,30,32,1,0.2,0.001,64,610.7208291330645,778.1959272487237
373,GRU,14,256,2,0.0,0.0003,32,611.9312042885638,1147.7886160401627
374,GRU,30,64,1,0.0,0.0001,64,612.8993195564516,781.3964446387677
375,GRU,14,256,2,0.0,0.001,32,613.0832883144947,1131.2522324518352
376,RNN,30,32,1,0.2,0.0001,32,613.2566863029234,791.564971383199
377,RNN,30,128,1,0.2,0.0001,64,613.5283518145161,772.8103703789437
378,LSTM,30,128,1,0.1,0.0003,64,614.0045756678427,843.1903452859725
379,GRU,14,256,2,0.2,0.0001,32,614.0566562084441,1146.2036359249062
380,LSTM,14,256,2,0.0,0.0001,32,614.4319367104388,1148.9078720419527
381,LSTM,14,256,2,0.1,0.0003,32,615.0384859125664,1151.5747379664233
382,GRU,14,256,1,0.1,0.001,32,615.4483616605718,1138.8705453355392
383,RNN,30,32,1,0.0,0.0001,32,615.9618746849799,766.4128634207024
384,LSTM,30,128,2,0.2,0.0003,64,616.0695013230846,835.201593734001
385,GRU,30,32,2,0.2,0.0001,32,616.1624952746976,772.6556498692527
386,LSTM,14,256,1,0.1,0.0001,32,616.7879301030586,1138.8396917521304
387,GRU,14,256,2,0.1,0.0003,32,617.4473539311836,1155.4419006589987
388,RNN,30,32,1,0.1,0.0001,64,617.7814311365927,792.848617488748
389,LSTM,14,256,2,0.0,0.0003,32,617.9109406166888,1158.4980115142691
390,LSTM,30,128,2,0.1,0.0001,64,618.2733508694556,843.1373093782189
391,RNN,14,128,2,0.1,0.001,32,619.2220640791223,1115.4733812463196
392,LSTM,14,256,2,0.2,0.0001,32,619.3888588763298,1153.3159507246285
393,LSTM,14,256,1,0.2,0.0003,32,619.9923017785904,1156.1287650501504
394,LSTM,14,256,1,0.2,0.0001,32,620.3474328873006,1152.638110909799
395,GRU,14,128,2,0.1,0.0001,32,620.8153102144282,1157.0636031842855
396,GRU,14,128,2,0.0,0.0001,32,621.0174119015958,1147.5574491766747
397,RNN,30,32,2,0.0,0.0001,32,621.2782494329637,764.2582158089873
398,LSTM,14,64,2,0.1,0.001,32,622.6058739195479,1160.5389894078965
399,LSTM,14,256,1,0.0,0.0001,32,623.2816188081782,1148.9986131160053
400,LSTM,30,128,2,0.1,0.001,64,623.2968198714718,834.6929011218857
401,RNN,30,64,1,0.0,0.0001,64,623.370833858367,775.7376359394675
402,GRU,14,256,1,0.2,0.001,32,623.5764783494016,1147.235278742644
403,LSTM,14,128,2,0.1,0.001,32,623.9481434923538,1170.0059543414386
404,LSTM,14,256,2,0.2,0.0003,32,624.0043581698803,1162.4053289298647
405,LSTM,30,32,2,0.2,0.001,64,624.5649886592741,808.7768559660592
406,GRU,14,256,2,0.0,0.0001,32,624.6637716090426,1150.6623948345434
407,GRU,14,256,1,0.0,0.001,32,624.7254249085771,1148.3449664736404
408,GRU,30,64,1,0.1,0.0001,64,625.07421875,796.6657464175593
409,GRU,14,128,2,0.1,0.0003,32,625.3920015375664,1151.2990574502328
410,GRU,14,128,2,0.0,0.0003,32,625.669121924867,1146.46140552045
411,GRU,14,128,1,0.0,0.0001,32,625.8605333693484,1137.980555927315
