,model_type,seq_len,hidden_size,num_layers,dropout,lr,batch_size,val_mae,val_rmse
765,RNN,14,128,1,0.2,0.0003,32,795.4025775016622,1229.614152913532
766,RNN,14,32,1,0.2,0.001,64,796.4940419298538,1228.2240607957383
767,RNN,14,128,1,0.1,0.0001,32,796.5705514461437,1233.2772362829169
768,RNN,14,64,1,0.1,0.0003,64,799.5268035239362,1227.7958039770594
769,LSTM,30,32,1,0.1,0.0001,32,800.0828188004032,957.404871854658
770,RNN,14,64,1,0.2,0.0001,64,800.1007002160904,1235.271612591555
771,RNN,14,32,1,0.2,0.0001,32,800.1498296210107,1227.8055726139294
772,RNN,14,64,1,0.2,0.001,64,802.9682824966756,1218.6876228901192
773,RNN,14,32,2,0.2,0.0001,64,803.7352113115027,1253.2340495726528
774,RNN,14,128,1,0.0,0.0003,32,803.9711082945479,1239.3598390148295
775,RNN,14,128,1,0.2,0.0001,64,804.1278517702792,1241.3842633229117
776,RNN,14,64,1,0.1,0.0001,64,805.2493974401596,1247.7518343156023
777,RNN,14,128,1,0.0,0.0001,32,806.3717326712101,1248.801429821669
778,LSTM,14,256,2,0.1,0.0003,64,807.3606840093086,1267.9416271132843
779,GRU,14,32,2,0.2,0.0001,32,808.0800417636303,1265.0261768724208
780,RNN,14,64,1,0.0,0.0001,64,808.2087194564494,1228.363085349823
781,LSTM,14,128,2,0.0,0.0001,64,808.9587194564494,1245.780349348724
782,LSTM,30,32,1,0.2,0.0001,32,809.9409652217741,1007.090868480202
783,GRU,30,32,2,0.0,0.0001,64,810.126449092742,949.0522999644345
784,RNN,14,64,2,0.1,0.0003,32,812.2784709524601,1236.5267956126568
785,RNN,14,64,1,0.1,0.0001,32,814.9979325964096,1259.0976112459605
786,LSTM,14,64,2,0.0,0.001,64,817.0621052194149,1260.898863445051
787,LSTM,14,64,2,0.1,0.001,64,817.2572514960107,1245.138462555541
788,GRU,14,32,1,0.0,0.0001,32,817.5133550116357,1254.2580295147202
789,RNN,14,32,2,0.1,0.001,64,817.876355759641,1228.0604983955423
790,LSTM,14,128,2,0.2,0.0003,64,818.8952792553191,1278.712437345469
791,RNN,14,32,2,0.1,0.0001,32,820.4676020196143,1286.696108321049
792,LSTM,30,64,1,0.0,0.0001,64,820.5001732610887,973.9182361126968
793,RNN,14,64,2,0.1,0.0001,64,820.7300168301197,1251.4631928177687
794,RNN,14,32,1,0.1,0.0001,64,824.1826899102393,1257.3324993271483
795,RNN,14,128,1,0.2,0.0001,32,825.8294599817154,1255.8487411290926
796,RNN,14,64,1,0.2,0.0001,32,827.1304334275266,1262.701252780195
797,RNN,14,32,2,0.1,0.0001,64,827.2543893367687,1264.545016843986
798,LSTM,14,64,2,0.2,0.0003,64,828.6939982962101,1235.4162697977558
799,LSTM,30,64,1,0.1,0.0001,64,830.8717946698589,980.7497750628334
800,RNN,14,32,1,0.1,0.0001,32,831.4008165724734,1252.0247284254567
801,RNN,14,32,2,0.0,0.0001,32,833.2926051363032,1286.8492529473222
802,GRU,14,32,1,0.1,0.0001,32,833.4858294547872,1271.2595156068617
803,LSTM,14,128,1,0.1,0.0001,64,833.9832841589096,1241.6961415689502
804,GRU,14,64,1,0.2,0.0001,64,834.2501454454788,1266.7828504349065
805,LSTM,30,32,2,0.1,0.0001,32,835.745833858367,998.5968110174136
806,RNN,14,32,2,0.0,0.0001,64,836.932482130984,1260.8106618036065
807,LSTM,30,64,1,0.2,0.0001,64,838.0750141759073,994.6927720624136
808,GRU,14,32,1,0.2,0.0001,32,838.6777032081117,1276.3497860800003
809,GRU,14,64,1,0.1,0.0001,64,839.5020414311836,1238.0975018640106
810,RNN,14,32,1,0.2,0.0003,64,839.6937593500664,1225.2627212960306
811,RNN,14,64,1,0.0,0.0003,32,843.7396629820479,1267.8601509161829
812,LSTM,14,32,2,0.2,0.001,64,843.9462734790559,1257.0739947948987
813,RNN,14,64,2,0.0,0.0001,64,850.457275390625,1273.643943155314
814,LSTM,14,32,2,0.1,0.001,64,855.4524808843086,1253.702111651506
815,RNN,14,32,2,0.1,0.0003,64,860.8684393700133,1249.6346963754177
816,RNN,14,32,1,0.0,0.0001,64,864.272570021609,1302.117208451061
817,LSTM,14,256,2,0.2,0.0003,64,866.651746384641,1282.3452437233327
818,LSTM,14,32,2,0.2,0.0003,64,877.3396931100399,1247.5514113175739
819,LSTM,14,64,2,0.1,0.0003,64,879.8407475897607,1296.6230385143501
820,RNN,14,32,1,0.2,0.0001,64,885.8251953125,1339.1836003955225
821,GRU,14,64,1,0.0,0.0001,64,891.1729710355718,1283.3395461045839
822,LSTM,14,32,2,0.0,0.0003,64,891.4351520944149,1285.650190264479
823,LSTM,30,64,2,0.2,0.0001,64,891.4677261844759,1024.1970715226892
824,LSTM,30,32,1,0.1,0.0001,64,897.0947895665323,1130.8513499981784
825,GRU,30,32,1,0.0,0.0001,64,898.1085244455645,1055.0574437953796
826,LSTM,14,128,2,0.1,0.0001,64,904.4010607130984,1316.9921900604645
827,GRU,14,32,1,0.0,0.0001,64,934.169854346742,1377.9498461563524
828,LSTM,30,64,2,0.1,0.0001,64,936.6732374621976,1076.6269710018444
829,LSTM,30,32,1,0.2,0.0001,64,959.1545173891129,1119.4407093120808
830,LSTM,30,64,2,0.1,0.0003,64,961.0452290196573,1115.1336371139794
831,LSTM,14,32,1,0.2,0.0001,32,961.9449021359708,1341.448597907907
832,LSTM,14,128,2,0.2,0.0001,64,963.041327293883,1355.414137965563
833,LSTM,14,32,1,0.1,0.0001,32,966.105047997008,1360.2133250297118
834,LSTM,30,32,1,0.0,0.0001,64,973.001937373992,1196.15305279148
835,LSTM,14,32,1,0.0,0.0001,32,978.827880859375,1448.3729592073432
836,LSTM,30,32,2,0.0,0.0001,64,984.5731398059476,1127.9705248022553
837,GRU,14,32,1,0.1,0.0001,64,988.3806723736702,1370.5233386478756
838,LSTM,14,64,1,0.2,0.0001,64,990.2954413231383,1388.7606041478773
839,LSTM,14,32,2,0.1,0.0001,32,1010.7014212101063,1407.6559665667835
840,GRU,14,32,2,0.1,0.0001,64,1011.5195364444813,1399.1033603631279
841,LSTM,30,32,2,0.2,0.0001,64,1013.1338441910282,1164.6270407579636
842,GRU,14,32,2,0.0,0.0001,64,1013.2194876163563,1396.5483783717852
843,GRU,14,32,1,0.2,0.0001,64,1013.8243122506649,1416.8349837167927
844,LSTM,30,32,2,0.1,0.0001,64,1015.6900989163306,1149.3936360063592
845,LSTM,14,64,1,0.1,0.0001,64,1016.0578873005319,1396.9695322433336
846,LSTM,14,256,2,0.0,0.0001,64,1016.9047747672872,1381.3502586747782
847,LSTM,30,32,2,0.0,0.001,64,1018.1876890120968,1156.7132526784676
848,GRU,14,32,2,0.2,0.0001,64,1028.411688622008,1436.6247855319389
849,LSTM,14,32,2,0.0,0.0001,32,1031.0899424451463,1423.4727366248026
850,LSTM,14,32,2,0.2,0.0001,32,1044.592731881649,1442.368066107524
851,LSTM,14,64,1,0.0,0.0001,64,1045.7025068567154,1446.6510868433184
852,LSTM,14,64,2,0.1,0.0001,64,1051.9334638879654,1379.2132060067042
853,LSTM,14,256,2,0.2,0.0001,64,1058.650619182181,1423.7216594666982
854,LSTM,14,64,2,0.2,0.0001,64,1060.166638962766,1381.3590628455938
855,LSTM,14,128,2,0.0,0.0003,64,1074.079221035572,1432.254296290502
856,LSTM,14,32,1,0.0,0.0001,64,1107.8566375083112,1511.0579807854047
857,LSTM,14,32,1,0.2,0.0001,64,1114.494831491024,1520.2867272423657
858,LSTM,14,32,1,0.1,0.0001,64,1160.246379446476,1559.357077696089
859,LSTM,14,32,2,0.0,0.0001,64,1168.6420586768618,1540.1938846192409
860,LSTM,14,64,2,0.0,0.0001,64,1172.6640832779256,1478.936284936928
861,LSTM,14,32,2,0.2,0.0001,64,1218.4002451795213,1533.7153952748615
862,LSTM,14,32,2,0.1,0.0001,64,1229.0776003573803,1539.12800444929
863,LSTM,14,256,2,0.1,0.0001,64,1277.05160717254,1563.280059250335
